"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	16	200111	Unreliable
	"Jefferson County, AL"	"01073"	148	660793	22.40
	"Mobile County, AL"	"01097"	18	415123	Unreliable
	"St. Clair County, AL"	"01115"	13	86697	Unreliable
	"Shelby County, AL"	"01117"	14	206655	Unreliable
	"Anchorage Borough, AK"	"02020"	32	301010	10.63
	"Fairbanks North Star Borough, AK"	"02090"	10	99357	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	11	97882	Unreliable
	"Cochise County, AZ"	"04003"	16	127448	Unreliable
	"Maricopa County, AZ"	"04013"	296	4087191	7.24
	"Mohave County, AZ"	"04015"	45	203361	22.13
	"Pima County, AZ"	"04019"	168	1004516	16.72
	"Pinal County, AZ"	"04021"	23	401918	5.72
	"Yavapai County, AZ"	"04025"	11	218844	Unreliable
	"Benton County, AR"	"05007"	22	242321	9.08
	"Garland County, AR"	"05051"	12	97322	Unreliable
	"Pulaski County, AR"	"05119"	26	392702	6.62
	"Washington County, AR"	"05143"	10	220792	Unreliable
	"Alameda County, CA"	"06001"	52	1610921	3.23
	"Butte County, CA"	"06007"	14	224241	Unreliable
	"Contra Costa County, CA"	"06013"	52	1111339	4.68
	"Fresno County, CA"	"06019"	70	965974	7.25
	"Humboldt County, CA"	"06023"	29	134809	21.51
	"Imperial County, CA"	"06025"	12	179091	Unreliable
	"Kern County, CA"	"06029"	73	874589	8.35
	"Kings County, CA"	"06031"	12	150269	Unreliable
	"Lake County, CA"	"06033"	17	64184	Unreliable
	"Los Angeles County, CA"	"06037"	291	10116705	2.88
	"Madera County, CA"	"06039"	10	154548	Unreliable
	"Mendocino County, CA"	"06045"	15	87869	Unreliable
	"Merced County, CA"	"06047"	13	266353	Unreliable
	"Monterey County, CA"	"06053"	13	431344	Unreliable
	"Orange County, CA"	"06059"	252	3145515	8.01
	"Riverside County, CA"	"06065"	145	2329271	6.23
	"Sacramento County, CA"	"06067"	60	1482026	4.05
	"San Bernardino County, CA"	"06071"	58	2112619	2.75
	"San Diego County, CA"	"06073"	244	3263431	7.48
	"San Francisco County, CA"	"06075"	89	852469	10.44
	"San Joaquin County, CA"	"06077"	69	715597	9.64
	"San Luis Obispo County, CA"	"06079"	18	279083	Unreliable
	"San Mateo County, CA"	"06081"	20	758581	2.64
	"Santa Barbara County, CA"	"06083"	22	440668	4.99
	"Santa Clara County, CA"	"06085"	57	1894605	3.01
	"Santa Cruz County, CA"	"06087"	46	271804	16.92
	"Shasta County, CA"	"06089"	22	179804	12.24
	"Solano County, CA"	"06095"	29	431131	6.73
	"Sonoma County, CA"	"06097"	31	500292	6.20
	"Stanislaus County, CA"	"06099"	16	531997	Unreliable
	"Tulare County, CA"	"06107"	17	458198	Unreliable
	"Ventura County, CA"	"06111"	64	846178	7.56
	"Yolo County, CA"	"06113"	11	207590	Unreliable
	"Adams County, CO"	"08001"	65	480718	13.52
	"Arapahoe County, CO"	"08005"	60	618821	9.70
	"Boulder County, CO"	"08013"	19	313333	Unreliable
	"Denver County, CO"	"08031"	97	663862	14.61
	"Douglas County, CO"	"08035"	17	314638	Unreliable
	"El Paso County, CO"	"08041"	71	663519	10.70
	"Jefferson County, CO"	"08059"	55	558503	9.85
	"Larimer County, CO"	"08069"	32	324122	9.87
	"Pueblo County, CO"	"08101"	29	161875	17.92
	"Weld County, CO"	"08123"	20	277670	7.20
	"Fairfield County, CT"	"09001"	87	945438	9.20
	"Hartford County, CT"	"09003"	137	897985	15.26
	"Litchfield County, CT"	"09005"	44	184993	23.78
	"Middlesex County, CT"	"09007"	33	164943	20.01
	"New Haven County, CT"	"09009"	126	861277	14.63
	"New London County, CT"	"09011"	46	273676	16.81
	"Tolland County, CT"	"09013"	25	151367	16.52
	"Windham County, CT"	"09015"	27	116998	23.08
	"Kent County, DE"	"10001"	33	171987	19.19
	"New Castle County, DE"	"10003"	61	552778	11.04
	"Sussex County, DE"	"10005"	30	210849	14.23
	"District of Columbia, DC"	"11001"	63	658893	9.56
	"Alachua County, FL"	"12001"	12	256380	Unreliable
	"Bay County, FL"	"12005"	22	178985	12.29
	"Brevard County, FL"	"12009"	29	556885	5.21
	"Broward County, FL"	"12011"	102	1869235	5.46
	"Citrus County, FL"	"12017"	12	139377	Unreliable
	"Clay County, FL"	"12019"	16	199798	Unreliable
	"Collier County, FL"	"12021"	36	348777	10.32
	"Duval County, FL"	"12031"	85	897698	9.47
	"Escambia County, FL"	"12033"	29	310659	9.33
	"Hillsborough County, FL"	"12057"	120	1316298	9.12
	"Lake County, FL"	"12069"	14	315690	Unreliable
	"Lee County, FL"	"12071"	65	679513	9.57
	"Leon County, FL"	"12073"	13	283988	Unreliable
	"Manatee County, FL"	"12081"	75	351746	21.32
	"Marion County, FL"	"12083"	19	339167	Unreliable
	"Miami-Dade County, FL"	"12086"	85	2662874	3.19
	"Okaloosa County, FL"	"12091"	18	196512	Unreliable
	"Orange County, FL"	"12095"	139	1253001	11.09
	"Osceola County, FL"	"12097"	32	310211	10.32
	"Palm Beach County, FL"	"12099"	67	1397710	4.79
	"Pasco County, FL"	"12101"	45	485331	9.27
	"Pinellas County, FL"	"12103"	70	938098	7.46
	"Polk County, FL"	"12105"	23	634638	3.62
	"St. Johns County, FL"	"12109"	17	217919	Unreliable
	"St. Lucie County, FL"	"12111"	11	291028	Unreliable
	"Santa Rosa County, FL"	"12113"	12	163422	Unreliable
	"Sarasota County, FL"	"12115"	36	396962	9.07
	"Seminole County, FL"	"12117"	44	442516	9.94
	"Volusia County, FL"	"12127"	55	507531	10.84
	"Bartow County, GA"	"13015"	10	101736	Unreliable
	"Bibb County, GA"	"13021"	10	153905	Unreliable
	"Carroll County, GA"	"13045"	16	114093	Unreliable
	"Chatham County, GA"	"13051"	17	283379	Unreliable
	"Cherokee County, GA"	"13057"	22	230985	9.52
